"PackageId","CurrentVersion","LatestVersion","GitHubOwner","GitHubRepo","GitHubUrl","InstallerUrl","ManifestPath"
"Mandelbulber.Mandelbulber","2.31.0.0","2.33","buddhi1980","mandelbulber2","https://github.com/buddhi1980/mandelbulber2","https://github.com/buddhi1980/mandelbulber2/releases/download/2.31-1/Mandelbulber2-v2.31.0.0-Setup.exe","\manifests\m\Mandelbulber\Mandelbulber\2.31.0.0\Mandelbulber.Mandelbulber.installer.yaml"
"KellyElton.Max.Backup","0.1.3","0.1.6.0","kellyelton","MaxBackup","https://github.com/kellyelton/MaxBackup","https://github.com/kellyelton/MaxBackup/releases/download/0.1.3.0/Max.Installer.Package.msi","\manifests\k\KellyElton\Max\Backup\0.1.3\KellyElton.Max.Backup.installer.yaml"
"IsWiX.IsWiX","5.0.53.0","5.2.14","iswix-llc","iswix","https://github.com/iswix-llc/iswix","https://github.com/iswix-llc/iswix/releases/download/v5.0.53.0/IsWiX-5.0.53.0.msi","\manifests\i\IsWiX\IsWiX\5.0.53.0\IsWiX.IsWiX.installer.yaml"
"Armin2208.WindowsAutoNightMode","10.4.1.1","10.4.2.29","AutoDarkMode","Windows-Auto-Night-Mode","https://github.com/AutoDarkMode/Windows-Auto-Night-Mode","https://github.com/AutoDarkMode/Windows-Auto-Night-Mode/releases/download/10.4.1.1/AutoDarkModeX_10.4.1.1.exe","\manifests\a\Armin2208\WindowsAutoNightMode\10.4.1.1\Armin2208.WindowsAutoNightMode.installer.yaml"
"TimVisee.ffsend","0.2.76","0.2.77","timvisee","ffsend","https://github.com/timvisee/ffsend","https://github.com/timvisee/ffsend/releases/download/v0.2.76/ffsend-v0.2.76-windows-x64-static.exe","\manifests\t\TimVisee\ffsend\0.2.76\TimVisee.ffsend.installer.yaml"
"Slackadays.Clipboard","0.9.0.1","0.10.0","Slackadays","Clipboard","https://github.com/Slackadays/Clipboard","https://github.com/Slackadays/Clipboard/releases/download/0.9.0.1/clipboard-windows-amd64.zip","\manifests\s\Slackadays\Clipboard\0.9.0.1\Slackadays.Clipboard.installer.yaml"
"kylon.sharedown","5.3.4","5.3.6","kylon","Sharedown","https://github.com/kylon/Sharedown","https://github.com/kylon/Sharedown/releases/download/5.3.4/sharedown.Setup.5.3.4.exe","\manifests\k\kylon\sharedown\5.3.4\kylon.sharedown.installer.yaml"
"Bililive.BililiveRecorder","1.3.8","2.16.0","Bililive","BililiveRecorder","https://github.com/Bililive/BililiveRecorder","https://github.com/Bililive/BililiveRecorder/releases/download/v1.3.8/BililiveRecorder-WPF-Setup.exe","\manifests\b\Bililive\BililiveRecorder\1.3.8\Bililive.BililiveRecorder.installer.yaml"
"Rubberduck.Rubberduck","2.5.9.6316","2.5.91","rubberduck-vba","Rubberduck","https://github.com/rubberduck-vba/Rubberduck","https://github.com/rubberduck-vba/Rubberduck/releases/download/v2.5.91/Rubberduck.Setup.2.5.9.6316.exe","\manifests\r\Rubberduck\Rubberduck\2.5.9.6316\Rubberduck.Rubberduck.installer.yaml"
"token2.FIDO2Manager","1.2.7","1.2.9","token2","fido2-manage.cpp","https://github.com/token2/fido2-manage.cpp","https://github.com/token2/fido2-manage.cpp/releases/download/1.2.7(C++)/FIDO2.1Manager.1.2.7.Release.zip","\manifests\t\token2\FIDO2Manager\1.2.7\token2.FIDO2Manager.installer.yaml"
